脣	唇
欸	唉
硤	唊
猇	唬
虓	唬
諕	唬
涶	唾
齦	啃
忤	啎
啟	啓
啗	啖
噉	啖
噉	啗
欼	啜
歠	啜
諁	啜
瘂	啞
嗁	啼
餧	喂
諵	喃
郁	喐
昝	喒
憙	喜
諠	喧
噪	喿
齅	嗅
膆	嗉
諮	嗞
嘷	嗥
嚎	嗥
瘶	嗽
歎	嘆
謱	嘍
甞	嘗
譁	嘩
歗	嘯
囑	嘱
觜	嘴
默	嘿
譐	噂
器	噐
嚎	噑
𧬨	噦
譟	噪
歕	噴
顰	嚬
饞	嚵
𡅈	嚹
讘	囁
齧	囓
回	囘
囬	囘
肆	四
囬	回
廻	回
顖	囟
𥫱	囤
囱	囪
𡈙	囮
國	囯
睏	困
圖	圕
圞	圝
町	圢
聖	圣
杇	圬
珪	圭
墳	坆
坌	坋
埳	坎
坯	坏
阬	坑
壇	坛
墳	坟
堃	坤
泥	坭
堙	垔
陻	垔
垜	垛
壩	垻
甬	埇
野	埜
秇	埶
蓺	埶
藝	埶
执	執
掃	埽
菫	堇
缸	堈
罁	堈
塍	堘
陻	堙
隄	堤
階	堦
隍	堭
报	報
塲	場
鹻	堿
鹼	堿
塑	塐
墖	塔
葬	塟
窴	塡
鄔	塢
隖	塢
隝	塢
壎	塤
鹽	塩
壍	塹
磡	墈
磽	墝
隤	墤
樽	墫
罇	墫
壜	墰
罈	墰
廧	墻
牆	墻
璽	壐
罈	壜
聲	声
殻	壳
弌	壹
婿	壻
夀	壽
寿	壽
寿	夀
降	夅
變	変
夠	够
彀	够
彀	夠
夣	夢
梦	夢
靝	天
誇	夸
竒	奇
柰	奈
奞	奎
犇	奔
弈	奕
妳	奶
嬭	奶
姙	妊
妬	妒
玅	妙
粧	妝
嬭	妳
姥	姆
姊	姉
姗	姍
婣	姻
孃	娘
嫵	娬
媍	婦
淫	婬
嫩	媆
愧	媿
𡜱	嫉
嫛	嫕
𡞾	嫩
嬷	嫫
嫻	嫺
撟	嬌
孾	嬰
霜	孀
𧴯	孭
斈	學
孽	孼
牠	它
烟	完
煙	完
宜	宐
寚	宝
寳	宝
寶	宝
讌	宴
密	宻
寇	宼
寧	寍
實	寔
寜	寕
甯	寗
置	寘
寳	寚
詧	察
窶	寠
關	寡
𡨴	寧
砦	寨
寶	寳
𠖥	寵
對	对
敷	尃
旉	尃
𤕭	将
𤕭	將
耑	專
尔	尒
爾	尒
爾	尔
尣	尢
狵	尨
腫	尰
尷	尲
屍	尸
盡	尽
届	屆
屜	屉
𡲕	屜
屬	属
𡱆	属
蹝	屣
躧	屣
𡱆	屬
歲	岁
𡻕	岁
崗	岡
砠	岨
巖	岩
洞	峒
峩	峨
陗	峭
峰	峯
崪	崒
磪	崔
崙	崘
嵩	崧
歲	嵗
谿	嵠
磛	嶃
巉	嶄
蔚	嶎
磴	嶝
魏	巍
川	巛
廵	巡
鬣	巤
迊	帀
紙	帋
袋	帒
袠	帙
箒	帚
裙	帬
幇	帮
幫	帮
賬	帳
鼏	幂
幫	幇
幙	幕
襮	幞
旘	幟
旛	幡
开	幵
幷	并
竝	并
竝	幷
莊	庄
麼	庅
麽	庅
牀	床
廟	庙
菴	庵
𠆌	庸
斞	庾
廋	廀
豸	廌
蔭	廕
牆	廧
雝	廱
迪	廸
迫	廹
迴	廻
迺	廼
𡚁	弊
𢍺	弋
貳	弍
韜	弢
絃	弦
强	強
彊	強
彊	强
彑	彐
歸	归
雕	彫
斌	彬
徬	彷
髣	彷
徃	往
𨑒	徒
馭	御
遍	徧
悳	德
惪	德
澈	徹
忄	心
迕	忤
昪	忭
欣	忻
慷	忼
懷	怀
懷	怌
恠	怪
悤	怱
恍	怳
恒	恆
戀	恋
𢙢	恐
悋	恡
耻	恥
摁	恩
慂	恿
懁	悁
悦	悅
惕	悐
𢥠	悚
誤	悞
滺	悠
懣	悶
敦	惇
惽	惛
𢠵	惝
懼	惧
懲	惩
𢜫	惺
愉	愈
憫	愍
慍	愠
訴	愬
遜	愻
願	愿
慚	慙
慽	慼
欲	慾
憩	憇
𢠳	憋
𠗦	憑
顦	憔
懟	憝
譈	憝
譎	憰
懵	懜
譈	懟
懫	懥
欢	懽
歡	懽
鉞	戉
戲	戯
戲	戱
扊	扅
扌	手
紮	扎
撲	扑
拓	托
捍	扞
撦	扯
攀	扳
於	扵
搤	扼
舀	抌
拯	抍
拗	抝
擡	抬
𢭆	抽
擔	担
𧿹	拇
拿	拏
挐	拏
拖	拕
𢂑	拭
摒	拼
挐	拿
掛	挂
繲	挫
骾	挭
鯁	挭
挲	挱
搒	挷
捼	挼
綑	捆
揑	捏
揶	捓
擒	捦
撫	捬
箠	捶
敁	掂
搯	掏
𠜼	掐
揜	掩
碰	掽
研	揅
撍	揝
攋	揦
揫	揪
摣	揸
楂	揸
摠	搃
總	搃
撳	搇
摇	搖
擣	搗
𢯱	搜
𢲷	搜
攪	搞
搬	搫
撘	搭
攜	携
總	摠
𢰾	摠
溉	摡
𢳆	摮
撇	撆
撑	撐
攮	擃
虜	擄
攩	擋
攬	擥
舉	擧
擿	擲
攢	攅
攵	攴
考	攷
暋	敃
敘	敍
教	敎
敪	敠
旉	敷
驅	敺
𤢕	斁
斆	斅
鏰	斆
齊	斉
齋	斋
斝	斚
觔	斤
斷	断
斵	斲
旆	斾
旗	旂
旒	旈
無	无
舊	旧
旹	时
時	时
時	旹
昻	昂
朙	明
昬	昏
暎	映
暱	昵
𥁕	昷
朝	晁
烜	晅
晋	晉
曬	晒
𣇀	晡
晳	晰
煖	暖
皜	暠
𣉞	暠
虣	暴
歴	曆
歷	曆
瞹	曖
燿	曜
耀	曜
疊	曡
鴝	朐
鸜	朐
朢	望
稘	朞
杷	朳
樸	朴
朶	朵
機	机
莿	朿
邨	村
柂	杝
槓	杠
條	条
芒	杧
盃	杯
殳	杸
版	板
楠	枏
菓	果
楠	枬
檯	枱
榢	架
柹	枾
舵	柁
棅	柄
栢	柏
櫾	柚
櫃	柜
査	查
檉	柳
檁	标
簨	栒
棲	栖
荔	栛
筏	栰
棹	桌
漆	桼
樑	梁
糶	條
鴞	梟
棃	梨
棳	梲
檳	梹
棋	棊
碁	棊
碁	棋
榧	棐
篺	棑
椶	棕
樊	棥
槌	棰
楞	棱
稜	棱
櫂	棹
盌	椀
碗	椀
槨	椁
槌	椎
葚	椹
槎	楂
稜	楞
楦	楥
檝	楫
艥	楫
槩	概
檟	榎
醡	榨
荣	榮
橊	榴
稿	槀
鎙	槊
篢	槓
橐	槖
𣓌	槹
櫓	樐
艪	樐
轆	樚
櫃	樻
罇	樽
無	橆
鞽	橇
蕣	橓
橜	橛
簷	檐
欓	檔
簻	檛
艥	檝
𢐧	檠
艢	檣
穫	檴
鐀	櫃
饋	櫃
耰	櫌
艪	櫓
蘖	櫱
欞	櫺
鬱	欝
歡	欢
款	欵
𠲿	欶
猗	欹
