匆	悤
惡	悪
慤	悫
淒	悽
惡	惡
蠢	惷
癒	愈
慤	愨
訴	愬
慎	愼
昚	愼
眘	愼
慄	慄
慚	慙
憖	慭
慼	慽
欲	慾
慟	憅
憩	憇
憐	憐
懷	懐
蒙	懞
懺	懴
歡	懽
戀	戀
戞	戛
賊	戝
戰	戦
戮	戮
戲	戯
戲	戱
戸	戶
戾	戻
碥	扁
煽	扇
朸	扐
拂	払
摃	扛
捍	扞
擀	扞
搋	扠
撦	扯
插	扱
抵	扺
拚	抃
拔	抜
擇	択
抔	抱
伸	抻
柆	拉
拉	拉
撫	拊
拏	拏
摭	拓
拓	拓
拖	拕
拝	拜
擴	拡
揎	拴
拏	拿
挆	挅
舉	挙
綑	捆
搜	捜
總	捴
搥	捶
捻	捻
搯	掏
撅	掘
掠	掠
揭	掲
搔	掻
搄	揯
插	揷
搖	揺
總	搃
構	搆
擣	搗
煽	搧
搭	搨
攝	摂
擊	撃
撚	撚
攴	撲
攪	撹
擄	擄
拠	據
舉	擧
儗	擬
攢	攅
考	攷
叙	敍
敘	敍
教	敎
敚	敓
敪	敠
斅	敩
敿	敽
斆	斅
學	斈
齊	斉
覺	斍
齋	斎
觔	斤
旅	旅
旣	既
蛋	旦
旮	旭
旯	旭
易	易
陽	昜
暎	映
萅	春
昰	是
暢	昶
曠	昿
晄	晃
晩	晚
晰	晢
晴	晴
曉	暁
煖	暖
晻	暗
闇	暗
曆	暦
曁	暨
暴	暴
瞭	暸
曅	曄
疉	曡
疊	曡
曵	曳
更	更
曺	曹
曾	曽
勗	朂
頒	朌
胊	朐
朗	朖
朗	朗
朢	望
期	朞
蒙	朦
等	朩
夲	本
箚	札
朶	朵
李	李
槓	杠
桮	杯
盃	杯
枀	松
枩	松
極	极
楠	枏
林	林
拐	枴
柿	枾
栢	柏
漆	柒
査	查
楂	查
柾	柩
茈	柴
榮	栄
慄	栗
栗	栗
檜	栝
槅	核
覈	核
航	桁
棹	桌
桒	桑
櫻	桜
棧	桟
梁	梁
楳	梅
梨	梨
檳	梹
棋	棊
茭	椒
楚	椘
檢	検
樿	椫
棕	椶
橢	楕
茂	楙
胡	楜
榆	楡
樂	楽
槪	概
矩	榘
乾	榦
槙	槇
樣	様
檇	槜
規	槻
樂	樂
樂	樂
樂	樂
櫓	樐
樓	樓
權	権
罇	樽
鞒	橇
蘗	檘
櫽	檼
棹	櫂
櫥	櫉
舮	櫓
舻	櫓
艣	櫓
艪	櫓
艫	櫓
櫓	櫓
欄	欄
灤	欒
鬱	欝
歉	欠
缺	欠
歡	歓
斂	歛
讙	歡
驩	歡
步	歩
齒	歯
歲	歳
歷	歴
歺	歹
隕	殒
隕	殞
殲	殱
殺	殺
殼	殻
每	毎
育	毓
毘	毗
球	毬
犛	氂
氣	気
泛	氾
泛	汎
汚	汙
污	汙
源	沅
瀋	沉
盅	沖
澤	沢
渢	沨
沲	沱
濔	沵
泺	泊
濼	泊
茅	泖
洴	泙
溯	泝
泥	泥
洪	洚
洛	洛
涕	洟
流	流
淨	浄
溮	浉
濬	浚
濱	浜
澔	浩
浪	浪
渉	涉
湧	涌
淚	涙
涗	涚
